County,TotalPop,Income,Hispanic,White,Black,Asian,Poverty,Unemployment,Professional,Service,Drive
Durham County,300865,3270465.0,0.26,0.81,0.74,0.09,0.38,0.12,0.91,0.37,1.41
Dutchess County,295685,5990376.0,0.32,1.92,0.27,0.1,0.26,0.19,1.05,0.51,1.98
Duval County,923477,9115559.0,0.19,1.01,0.59,0.07,0.34,0.16,0.65,0.38,1.5
Dyer County,37751,364783.0,0.07,1.73,0.25,0.02,0.38,0.16,0.64,0.38,1.9
Eagle County,53726,1146435.0,0.68,1.83,0.02,0.03,0.22,0.07,0.83,0.78,1.88
Early County,10405,142202.0,0.16,2.32,2.28,0.02,1.27,0.41,1.53,0.57,4.2
East Baton Rouge Parish,446167,4652038.0,0.08,0.83,1.02,0.06,0.44,0.17,0.71,0.42,1.65
East Carroll Parish,7318,78232.0,0.02,1.15,2.91,0.0,1.71,0.27,1.18,1.13,3.7
East Feliciana Parish,19553,250632.0,0.03,1.46,1.03,0.0,0.42,0.17,0.73,0.58,2.27
Eastland County,18278,160521.0,0.45,2.19,0.06,0.0,0.47,0.17,0.69,0.56,2.37
Eaton County,108586,1663246.0,0.14,2.15,0.17,0.05,0.28,0.15,0.87,0.43,2.18
Eau Claire County,102388,1056768.0,0.04,1.77,0.02,0.07,0.31,0.08,0.67,0.37,1.56
Echols County,4011,69335.0,1.26,3.25,0.16,0.0,1.41,0.28,0.94,0.63,4.07
Ector County,155744,1673292.0,1.05,0.63,0.08,0.02,0.23,0.12,0.41,0.28,1.45
Eddy County,59114,748698.0,0.99,1.11,0.04,0.01,0.34,0.11,0.61,0.39,1.86
Edgar County,17603,248573.0,0.04,2.74,0.02,0.01,0.42,0.2,0.81,0.49,2.36
Edgecombe County,54032,498825.0,0.11,0.97,1.46,0.0,0.63,0.26,0.62,0.51,2.14
Edgefield County,26620,303992.0,0.11,1.29,0.82,0.01,0.32,0.16,0.66,0.34,1.87
Edmonson County,12063,128932.0,0.11,2.59,0.43,0.0,1.21,0.79,0.64,1.25,1.91
Edmunds County,3971,123915.0,0.09,4.91,0.0,0.01,0.31,0.08,1.83,0.71,3.7
Edwards County,11627,300764.0,0.87,4.2,0.03,0.03,0.53,0.25,1.3,0.8,4.12
